Sales Channel,OrderDate,_SalesTeamID,_CustomerID,_StoreID,_ProductID,Discount Applied,Revenue,recency,frequency,monetary,R,F,M,rfm_group,rfm_total,segment
In-Store,2019-01-25,9,46,233,13,0.05,1238.16,4,157,378414.74,4,3,2,432,9,At Risk Customer
Distributor,2019-01-26,21,38,274,14,0.05,4189.64,8,150,350687.63,2,1,1,211,4,Need Attention
Wholesale,2019-01-26,26,44,333,42,0.3,2982.84,3,156,348209.08,5,2,1,521,8,Checker
Online,2019-01-26,14,42,227,47,0.2,223.51,2,161,427159.63,5,3,3,533,11,Potential Loyalists
In-Store,2019-01-26,2,27,310,8,0.05,600.59,3,144,336959.79,5,1,1,511,7,Checker
Online,2019-01-26,13,20,98,31,0.075,3080.53,9,167,439147.97,2,4,3,243,9,Cant Lose Group
In-Store,2019-01-26,2,42,51,43,0.15,325.89,2,161,427159.63,5,3,3,533,11,Potential Loyalists
Online,2019-01-27,12,33,284,42,0.05,2089.8,4,156,495444.29,4,2,5,425,11,Champions
Online,2019-01-27,13,12,22,39,0.1,2511.5,3,210,616719.31,5,5,5,555,15,Champions
In-Store,2019-01-27,1,49,301,42,0.075,5059.04,7,152,354161.33,2,2,1,221,5,Need Attention
Online,2019-01-27,16,17,48,39,0.15,90.05,6,175,534027.38,3,5,5,355,13,Champions
Online,2019-01-27,15,34,43,28,0.1,641.19,15,176,496418.7,1,5,5,155,11,Cant Lose Group
Online,2019-01-27,19,41,127,36,0.2,5995.7,2,161,403693.28,5,3,2,532,10,Potential Loyalists
Wholesale,2019-01-27,28,32,103,14,0.1,11143.44,2,173,435206.07,5,5,3,553,13,Potential Loyalists
Wholesale,2019-01-27,26,13,21,16,0.075,320.6,4,171,441003.32,4,4,3,443,11,At Risk Customer
In-Store,2019-01-27,3,21,246,10,0.2,809.03,3,164,479383.05,5,4,5,545,14,Champions
Online,2019-01-27,12,19,344,30,0.075,3072.22,3,165,443231.83,5,4,4,544,13,Potential Loyalists
Distributor,2019-01-27,21,37,365,28,0.05,6686.06,11,152,425241.12,1,2,3,123,6,Need Attention
Wholesale,2019-01-28,26,44,253,35,0.05,5547.6,3,156,348209.08,5,2,1,521,8,Checker
Online,2019-01-28,13,50,253,11,0.075,5283.99,16,163,498385.06,1,4,5,145,10,Cant Lose Group
In-Store,2019-01-28,4,27,143,8,0.3,2331.6,3,144,336959.79,5,1,1,511,7,Checker
In-Store,2019-01-28,7,48,133,27,0.075,2587.88,10,172,424970.73,2,5,3,253,10,Cant Lose Group
Distributor,2019-01-28,24,23,240,16,0.075,1942.36,12,164,449782.3,1,4,4,144,9,Cant Lose Group
Distributor,2019-01-28,25,38,313,3,0.1,9031.06,8,150,350687.63,2,1,1,211,4,Need Attention
Distributor,2019-01-28,23,48,356,5,0.1,5133.94,10,172,424970.73,2,5,3,253,10,Cant Lose Group
Distributor,2019-01-28,24,41,239,36,0.075,558.91,2,161,403693.28,5,3,2,532,10,Potential Loyalists
Online,2019-01-28,15,38,348,6,0.1,1871.31,8,150,350687.63,2,1,1,211,4,Need Attention
In-Store,2019-01-28,10,24,268,47,0.075,1252.23,23,151,352505.54,1,2,1,121,4,Need Attention
Distributor,2019-01-28,24,8,106,29,0.075,4596.97,5,142,338000.04,3,1,1,311,5,Checker
Online,2019-01-28,15,18,32,20,0.075,9012.84,6,186,451637.75,3,5,4,354,12,Potential Loyalists
In-Store,2019-01-28,8,49,261,36,0.075,356.21,7,152,354161.33,2,2,1,221,5,Need Attention
In-Store,2019-01-28,1,33,175,18,0.075,552.75,4,156,495444.29,4,2,5,425,11,Champions
In-Store,2019-01-28,12,25,73,41,0.1,141.1,5,162,461601.95,3,4,4,344,11,Potential Loyalists
In-Store,2019-01-28,6,5,65,44,0.075,168.04,30,159,445632.75,1,3,4,134,8,Need Attention
In-Store,2019-01-29,11,43,86,38,0.075,9396.35,5,151,372471.34,3,2,2,322,7,At Risk Customer
Online,2019-01-29,20,3,287,40,0.3,2431.3,10,181,466220.17,2,5,4,254,11,Cant Lose Group
Distributor,2019-01-29,22,20,341,38,0.075,677.87,9,167,439147.97,2,4,3,243,9,Cant Lose Group
In-Store,2019-01-29,10,11,107,7,0.2,663.3,6,178,487614.24,3,5,5,355,13,Champions
In-Store,2019-01-29,12,6,80,6,0.05,4175.17,4,143,392141.08,4,1,2,412,7,Potential Loyalists
Online,2019-01-29,13,30,31,9,0.05,1123.19,4,159,442372.43,4,3,4,434,11,Potential Loyalists
In-Store,2019-01-29,2,49,178,16,0.1,755.76,7,152,354161.33,2,2,1,221,5,Need Attention
Wholesale,2019-01-29,27,3,178,16,0.1,504.11,10,181,466220.17,2,5,4,254,11,Cant Lose Group
Online,2019-01-29,13,4,115,27,0.1,1181.88,5,167,526981.0599999999,3,4,5,345,12,Champions
Wholesale,2019-01-29,26,21,7,1,0.075,532.92,3,164,479383.05,5,4,5,545,14,Champions
In-Store,2019-01-30,5,34,101,24,0.1,1825.35,15,176,496418.7,1,5,5,155,11,Cant Lose Group
Online,2019-01-30,18,41,214,3,0.075,761.59,2,161,403693.28,5,3,2,532,10,Potential Loyalists
Distributor,2019-01-30,21,28,316,2,0.15,117.18,8,145,348495.46,2,1,1,211,4,Need Attention
In-Store,2019-01-30,8,7,42,4,0.1,476.37,3,153,414155.93,5,2,3,523,10,Potential Loyalists
Wholesale,2019-01-30,27,19,7,9,0.1,4532.55,3,165,443231.83,5,4,4,544,13,Potential Loyalists
In-Store,2019-01-31,2,21,183,22,0.075,7059.39,3,164,479383.05,5,4,5,545,14,Champions
In-Store,2019-01-31,10,48,338,25,0.075,6295.32,10,172,424970.73,2,5,3,253,10,Cant Lose Group
Wholesale,2019-01-31,26,26,279,28,0.075,3869.45,11,153,375766.72,1,2,2,122,5,Need Attention
Distributor,2019-01-31,21,30,320,44,0.075,1163.12,4,159,442372.43,4,3,4,434,11,Potential Loyalists
Online,2019-01-31,16,41,304,42,0.15,1055.92,2,161,403693.28,5,3,2,532,10,Potential Loyalists
Online,2019-01-31,13,39,195,36,0.15,7473.18,4,176,471608.09,4,5,4,454,13,Potential Loyalists
In-Store,2019-01-31,7,14,145,37,0.3,-1061.28,5,157,381450.02,3,3,2,332,8,At Risk Customer
In-Store,2019-02-01,2,4,302,42,0.4,-120.06,5,167,526981.0599999999,3,4,5,345,12,Champions
Wholesale,2019-02-01,26,22,242,22,0.1,8867.72,4,140,401721.77,4,1,2,412,7,Potential Loyalists
Online,2019-02-01,16,4,84,35,0.3,115.57,5,167,526981.0599999999,3,4,5,345,12,Champions
Online,2019-02-01,16,6,355,46,0.05,1691.42,4,143,392141.08,4,1,2,412,7,Potential Loyalists
Online,2019-02-01,14,23,124,17,0.05,704.91,12,164,449782.3,1,4,4,144,9,Cant Lose Group
Distributor,2019-02-02,21,40,243,15,0.075,600.65,9,150,406016.91,2,1,2,212,5,Need Attention
In-Store,2019-02-02,2,29,301,35,0.05,7913.44,2,179,531770.74,5,5,5,555,15,Champions
Online,2019-02-02,12,4,235,25,0.4,353.09,5,167,526981.0599999999,3,4,5,345,12,Champions
Wholesale,2019-02-02,26,21,90,8,0.1,2290.6,3,164,479383.05,5,4,5,545,14,Champions
Online,2019-02-02,18,29,154,32,0.05,4811.94,2,179,531770.74,5,5,5,555,15,Champions
In-Store,2019-02-03,5,31,139,27,0.1,1480.57,4,152,398616.83,4,2,2,422,8,At Risk Customer
In-Store,2019-02-03,4,9,272,19,0.05,2649.38,8,171,500166.4,2,4,5,245,11,Cant Lose Group
In-Store,2019-02-03,1,40,321,28,0.1,1975.43,9,150,406016.91,2,1,2,212,5,Need Attention
Wholesale,2019-02-03,26,35,363,24,0.15,2018.04,10,145,345844.59,2,1,1,211,4,Need Attention
Distributor,2019-02-03,24,32,193,47,0.05,15679.68,2,173,435206.07,5,5,3,553,13,Potential Loyalists
Online,2019-02-03,15,6,353,32,0.2,55.74,4,143,392141.08,4,1,2,412,7,Potential Loyalists
Distributor,2019-02-03,24,11,168,21,0.1,575.26,6,178,487614.24,3,5,5,355,13,Champions
Online,2019-02-03,18,46,276,9,0.1,397.98,4,157,378414.74,4,3,2,432,9,At Risk Customer
In-Store,2019-02-03,7,40,348,19,0.15,167.5,9,150,406016.91,2,1,2,212,5,Need Attention
Wholesale,2019-02-04,26,24,300,22,0.1,2626.4,23,151,352505.54,1,2,1,121,4,Need Attention
Wholesale,2019-02-04,28,41,279,19,0.075,443.2,2,161,403693.28,5,3,2,532,10,Potential Loyalists
Online,2019-02-04,13,19,174,27,0.05,3734.85,3,165,443231.83,5,4,4,544,13,Potential Loyalists
In-Store,2019-02-04,9,45,56,36,0.05,1403.78,5,156,407145.0,3,2,3,323,8,At Risk Customer
Online,2019-02-04,14,48,130,6,0.075,114.03,10,172,424970.73,2,5,3,253,10,Cant Lose Group
Online,2019-02-04,16,13,357,25,0.15,964.93,4,171,441003.32,4,4,3,443,11,At Risk Customer
In-Store,2019-02-04,8,34,236,12,0.075,268.23,15,176,496418.7,1,5,5,155,11,Cant Lose Group
In-Store,2019-02-05,12,24,178,41,0.2,683.4,23,151,352505.54,1,2,1,121,4,Need Attention
Online,2019-02-05,18,2,30,25,0.075,880.38,9,135,327409.14,2,1,1,211,4,Need Attention
Distributor,2019-02-05,23,48,312,7,0.075,1073.17,10,172,424970.73,2,5,3,253,10,Cant Lose Group
Distributor,2019-02-05,21,2,17,3,0.05,3281.12,9,135,327409.14,2,1,1,211,4,Need Attention
Distributor,2019-02-05,21,10,147,39,0.1,4075.48,15,158,435122.22000000003,1,3,3,133,7,Need Attention
Wholesale,2019-02-05,26,36,76,41,0.4,-16.41,4,156,441225.98,4,2,3,423,9,At Risk Customer
Online,2019-02-05,20,35,42,42,0.05,747.32,10,145,345844.59,2,1,1,211,4,Need Attention
In-Store,2019-02-05,5,37,219,39,0.1,860.82,11,152,425241.12,1,2,3,123,6,Need Attention
In-Store,2019-02-05,8,26,359,29,0.075,2907.87,11,153,375766.72,1,2,2,122,5,Need Attention
Wholesale,2019-02-05,26,33,21,16,0.15,2718.32,4,156,495444.29,4,2,5,425,11,Champions
Wholesale,2019-02-05,28,16,29,5,0.05,1865.68,3,135,402938.75,5,1,2,512,8,Potential Loyalists
Distributor,2019-02-06,21,42,149,22,0.05,477.71,2,161,427159.63,5,3,3,533,11,Potential Loyalists
Online,2019-02-06,19,31,249,9,0.05,9273.8,4,152,398616.83,4,2,2,422,8,At Risk Customer
Online,2019-02-06,18,24,295,23,0.05,2437.86,23,151,352505.54,1,2,1,121,4,Need Attention
In-Store,2019-02-06,8,37,202,15,0.15,3405.74,11,152,425241.12,1,2,3,123,6,Need Attention
Distributor,2019-02-06,23,6,47,5,0.15,321.6,4,143,392141.08,4,1,2,412,7,Potential Loyalists
Wholesale,2019-02-06,27,22,136,28,0.075,2141.32,4,140,401721.77,4,1,2,412,7,Potential Loyalists
Distributor,2019-02-06,25,19,148,21,0.05,1981.86,3,165,443231.83,5,4,4,544,13,Potential Loyalists
Online,2019-02-06,18,13,352,7,0.3,49.58,4,171,441003.32,4,4,3,443,11,At Risk Customer
Online,2019-02-06,15,14,190,36,0.4,2748.34,5,157,381450.02,3,3,2,332,8,At Risk Customer
Online,2019-02-06,14,8,218,22,0.05,1425.76,5,142,338000.04,3,1,1,311,5,Checker
In-Store,2019-02-07,5,44,297,31,0.075,6135.52,3,156,348209.08,5,2,1,521,8,Checker
In-Store,2019-02-07,6,50,281,17,0.05,4054.57,16,163,498385.06,1,4,5,145,10,Cant Lose Group
Wholesale,2019-02-07,26,21,100,45,0.05,11202.4,3,164,479383.05,5,4,5,545,14,Champions
Online,2019-02-07,16,39,24,33,0.3,2732.19,4,176,471608.09,4,5,4,454,13,Potential Loyalists
Online,2019-02-07,18,1,155,34,0.15,4055.18,9,152,335933.63,2,2,1,221,5,Need Attention
In-Store,2019-02-07,3,39,30,7,0.05,2104.27,4,176,471608.09,4,5,4,454,13,Potential Loyalists
Distributor,2019-02-07,21,37,40,41,0.05,1013.84,11,152,425241.12,1,2,3,123,6,Need Attention
Distributor,2019-02-07,21,4,169,20,0.1,1946.89,5,167,526981.0599999999,3,4,5,345,12,Champions
In-Store,2019-02-07,8,29,290,27,0.1,11798.7,2,179,531770.74,5,5,5,555,15,Champions
Distributor,2019-02-07,21,2,212,38,0.075,109.44,9,135,327409.14,2,1,1,211,4,Need Attention
In-Store,2019-02-07,4,24,30,22,0.1,150.08,23,151,352505.54,1,2,1,121,4,Need Attention
Distributor,2019-02-08,23,34,152,8,0.05,5656.14,15,176,496418.7,1,5,5,155,11,Cant Lose Group
Online,2019-02-08,18,35,206,41,0.3,-680.99,10,145,345844.59,2,1,1,211,4,Need Attention
In-Store,2019-02-08,7,7,225,22,0.05,13225.8,3,153,414155.93,5,2,3,523,10,Potential Loyalists
In-Store,2019-02-08,3,3,63,6,0.05,5451.12,10,181,466220.17,2,5,4,254,11,Cant Lose Group
Distributor,2019-02-08,23,25,292,20,0.05,7959.6,5,162,461601.95,3,4,4,344,11,Potential Loyalists
In-Store,2019-02-08,11,36,255,27,0.4,-86.83,4,156,441225.98,4,2,3,423,9,At Risk Customer
In-Store,2019-02-08,3,44,231,11,0.2,439.52,3,156,348209.08,5,2,1,521,8,Checker
In-Store,2019-02-08,12,34,43,18,0.15,3590.66,15,176,496418.7,1,5,5,155,11,Cant Lose Group
In-Store,2019-02-08,10,18,81,9,0.05,1907.49,6,186,451637.75,3,5,4,354,12,Potential Loyalists
Online,2019-02-09,12,12,332,44,0.1,930.23,3,210,616719.31,5,5,5,555,15,Champions
In-Store,2019-02-09,5,13,293,23,0.05,2367.98,4,171,441003.32,4,4,3,443,11,At Risk Customer
Distributor,2019-02-09,24,45,173,42,0.05,1445.06,5,156,407145.0,3,2,3,323,8,At Risk Customer
In-Store,2019-02-09,8,44,300,2,0.15,1709.84,3,156,348209.08,5,2,1,521,8,Checker
In-Store,2019-02-09,4,24,135,25,0.075,944.8,23,151,352505.54,1,2,1,121,4,Need Attention
Distributor,2019-02-09,25,25,330,23,0.075,672.95,5,162,461601.95,3,4,4,344,11,Potential Loyalists
Online,2019-02-09,15,31,352,35,0.15,3320.52,4,152,398616.83,4,2,2,422,8,At Risk Customer
In-Store,2019-02-10,10,30,90,13,0.075,2216.02,4,159,442372.43,4,3,4,434,11,Potential Loyalists
Wholesale,2019-02-10,26,39,248,36,0.075,2093.31,4,176,471608.09,4,5,4,454,13,Potential Loyalists
Online,2019-02-10,17,15,171,7,0.05,204.22,4,142,441668.35,4,1,4,414,9,Potential Loyalists
Online,2019-02-10,12,17,12,44,0.075,304.85,6,175,534027.38,3,5,5,355,13,Champions
Online,2019-02-10,15,23,349,20,0.15,3139.62,12,164,449782.3,1,4,4,144,9,Cant Lose Group
Wholesale,2019-02-10,25,27,14,19,0.05,2038.74,3,144,336959.79,5,1,1,511,7,Checker
Online,2019-02-10,14,17,67,9,0.05,441.4,6,175,534027.38,3,5,5,355,13,Champions
Online,2019-02-10,15,25,259,9,0.075,1297.96,5,162,461601.95,3,4,4,344,11,Potential Loyalists
In-Store,2019-02-10,2,15,255,42,0.4,-124.49,4,142,441668.35,4,1,4,414,9,Potential Loyalists
Wholesale,2019-02-11,28,10,271,27,0.15,2401.28,15,158,435122.22000000003,1,3,3,133,7,Need Attention
In-Store,2019-02-11,10,4,190,17,0.05,16076.98,5,167,526981.0599999999,3,4,5,345,12,Champions
Distributor,2019-02-11,21,17,236,45,0.1,1196.35,6,175,534027.38,3,5,5,355,13,Champions
In-Store,2019-02-11,7,43,116,43,0.15,577.81,5,151,372471.34,3,2,2,322,7,At Risk Customer
In-Store,2019-02-11,5,31,306,36,0.075,889.42,4,152,398616.83,4,2,2,422,8,At Risk Customer
Distributor,2019-02-11,24,38,225,8,0.15,2346.88,8,150,350687.63,2,1,1,211,4,Need Attention
In-Store,2019-02-11,12,34,173,30,0.05,485.01,15,176,496418.7,1,5,5,155,11,Cant Lose Group
In-Store,2019-02-11,5,44,272,40,0.075,968.15,3,156,348209.08,5,2,1,521,8,Checker
Wholesale,2019-02-11,28,33,38,17,0.15,1911.17,4,156,495444.29,4,2,5,425,11,Champions
Wholesale,2019-02-11,27,33,159,26,0.05,10409.12,4,156,495444.29,4,2,5,425,11,Champions
Distributor,2019-02-12,24,13,134,7,0.05,2870.28,4,171,441003.32,4,4,3,443,11,At Risk Customer
Distributor,2019-02-12,24,25,91,22,0.15,3450.77,5,162,461601.95,3,4,4,344,11,Potential Loyalists
In-Store,2019-02-12,7,47,97,9,0.05,1271.66,8,168,442845.83999999997,2,4,4,244,10,Cant Lose Group
Online,2019-02-12,19,31,54,4,0.075,9833.72,4,152,398616.83,4,2,2,422,8,At Risk Customer
In-Store,2019-02-12,11,7,322,31,0.075,124.35,3,153,414155.93,5,2,3,523,10,Potential Loyalists
Online,2019-02-12,12,44,365,40,0.075,996.16,3,156,348209.08,5,2,1,521,8,Checker
In-Store,2019-02-12,5,3,153,23,0.1,3451.97,10,181,466220.17,2,5,4,254,11,Cant Lose Group
Wholesale,2019-02-12,28,40,284,10,0.075,592.11,9,150,406016.91,2,1,2,212,5,Need Attention
In-Store,2019-02-12,10,18,6,30,0.2,346.26,6,186,451637.75,3,5,4,354,12,Potential Loyalists
Wholesale,2019-02-12,28,6,284,9,0.4,1914.59,4,143,392141.08,4,1,2,412,7,Potential Loyalists
Online,2019-02-12,16,37,271,43,0.1,973.24,11,152,425241.12,1,2,3,123,6,Need Attention
In-Store,2019-02-12,3,36,26,40,0.075,8135.27,4,156,441225.98,4,2,3,423,9,At Risk Customer
Online,2019-02-13,15,50,210,4,0.075,314.67,16,163,498385.06,1,4,5,145,10,Cant Lose Group
In-Store,2019-02-13,3,20,11,2,0.075,12221.2,9,167,439147.97,2,4,3,243,9,Cant Lose Group
In-Store,2019-02-14,9,29,170,6,0.15,852.24,2,179,531770.74,5,5,5,555,15,Champions
Distributor,2019-02-14,22,23,248,12,0.075,171.86,12,164,449782.3,1,4,4,144,9,Cant Lose Group
Wholesale,2019-02-14,25,14,253,2,0.05,5120.68,5,157,381450.02,3,3,2,332,8,At Risk Customer
In-Store,2019-02-14,3,16,47,37,0.05,1348.78,3,135,402938.75,5,1,2,512,8,Potential Loyalists
In-Store,2019-02-14,7,38,19,10,0.05,781.35,8,150,350687.63,2,1,1,211,4,Need Attention
In-Store,2019-02-14,5,13,182,5,0.075,5030.02,4,171,441003.32,4,4,3,443,11,At Risk Customer
In-Store,2019-02-14,9,3,260,19,0.05,11497.2,10,181,466220.17,2,5,4,254,11,Cant Lose Group
In-Store,2019-02-14,12,31,319,18,0.1,53.06,4,152,398616.83,4,2,2,422,8,At Risk Customer
In-Store,2019-02-14,3,9,247,37,0.05,5230.29,8,171,500166.4,2,4,5,245,11,Cant Lose Group
Online,2019-02-14,20,13,129,34,0.05,482.6,4,171,441003.32,4,4,3,443,11,At Risk Customer
Distributor,2019-02-15,22,27,87,41,0.05,973.64,3,144,336959.79,5,1,1,511,7,Checker
Wholesale,2019-02-15,27,1,93,9,0.2,195.98,9,152,335933.63,2,2,1,221,5,Need Attention
Online,2019-02-15,20,38,326,44,0.1,2701.44,8,150,350687.63,2,1,1,211,4,Need Attention
In-Store,2019-02-15,9,23,318,37,0.1,1857.24,12,164,449782.3,1,4,4,144,9,Cant Lose Group
Distributor,2019-02-16,25,11,172,14,0.2,95.68,6,178,487614.24,3,5,5,355,13,Champions
In-Store,2019-02-16,5,17,181,13,0.15,341.7,6,175,534027.38,3,5,5,355,13,Champions
Online,2019-02-16,19,3,225,37,0.075,1366.8,10,181,466220.17,2,5,4,254,11,Cant Lose Group
Distributor,2019-02-16,24,4,220,4,0.1,5649.44,5,167,526981.0599999999,3,4,5,345,12,Champions
In-Store,2019-02-16,10,3,285,6,0.1,150.75,10,181,466220.17,2,5,4,254,11,Cant Lose Group
Wholesale,2019-02-16,28,47,105,41,0.15,410.04,8,168,442845.83999999997,2,4,4,244,10,Cant Lose Group
Wholesale,2019-02-16,28,3,119,1,0.075,1497.32,10,181,466220.17,2,5,4,254,11,Cant Lose Group
Distributor,2019-02-16,23,49,165,29,0.075,780.88,7,152,354161.33,2,2,1,221,5,Need Attention
Distributor,2019-02-16,25,1,196,9,0.3,109.08,9,152,335933.63,2,2,1,221,5,Need Attention
In-Store,2019-02-17,6,17,120,1,0.05,313.29,6,175,534027.38,3,5,5,355,13,Champions
In-Store,2019-02-17,4,11,183,38,0.05,204.75,6,178,487614.24,3,5,5,355,13,Champions
In-Store,2019-02-17,10,25,106,41,0.1,470.34,5,162,461601.95,3,4,4,344,11,Potential Loyalists
Online,2019-02-17,14,33,72,35,0.075,3526.21,4,156,495444.29,4,2,5,425,11,Champions
Wholesale,2019-02-17,27,7,26,25,0.05,665.71,3,153,414155.93,5,2,3,523,10,Potential Loyalists
In-Store,2019-02-17,10,46,120,45,0.2,1581.87,4,157,378414.74,4,3,2,432,9,At Risk Customer
In-Store,2019-02-17,11,21,311,25,0.05,213.73,3,164,479383.05,5,4,5,545,14,Champions
Online,2019-02-17,19,9,227,33,0.05,1713.52,8,171,500166.4,2,4,5,245,11,Cant Lose Group
Distributor,2019-02-17,22,5,278,12,0.05,5279.6,30,159,445632.75,1,3,4,134,8,Need Attention
In-Store,2019-02-17,2,45,247,15,0.2,6817.38,5,156,407145.0,3,2,3,323,8,At Risk Customer
In-Store,2019-02-17,3,13,318,6,0.15,320.6,4,171,441003.32,4,4,3,443,11,At Risk Customer
In-Store,2019-02-17,6,27,237,7,0.05,164.82,3,144,336959.79,5,1,1,511,7,Checker
In-Store,2019-02-17,11,27,242,21,0.075,1541.84,3,144,336959.79,5,1,1,511,7,Checker
Distributor,2019-02-17,22,9,94,17,0.05,322.27,8,171,500166.4,2,4,5,245,11,Cant Lose Group
Online,2019-02-17,18,40,177,12,0.05,4041.44,9,150,406016.91,2,1,2,212,5,Need Attention
Wholesale,2019-02-18,28,50,344,6,0.05,1575.84,16,163,498385.06,1,4,5,145,10,Cant Lose Group
In-Store,2019-02-18,7,3,227,26,0.15,224.45,10,181,466220.17,2,5,4,254,11,Cant Lose Group
Wholesale,2019-02-18,27,5,48,7,0.075,1300.07,30,159,445632.75,1,3,4,134,8,Need Attention
In-Store,2019-02-18,1,42,318,41,0.1,9360.3,2,161,427159.63,5,3,3,533,11,Potential Loyalists
In-Store,2019-02-18,3,39,15,31,0.075,1179.97,4,176,471608.09,4,5,4,454,13,Potential Loyalists
In-Store,2019-02-18,1,17,293,4,0.05,289.44,6,175,534027.38,3,5,5,355,13,Champions
In-Store,2019-02-18,11,33,132,19,0.1,1264.96,4,156,495444.29,4,2,5,425,11,Champions
Online,2019-02-19,15,9,41,39,0.075,4030.18,8,171,500166.4,2,4,5,245,11,Cant Lose Group
In-Store,2019-02-19,10,50,268,46,0.15,566.82,16,163,498385.06,1,4,5,145,10,Cant Lose Group
Online,2019-02-19,13,17,258,42,0.075,110.75,6,175,534027.38,3,5,5,355,13,Champions
Distributor,2019-02-19,21,4,367,44,0.1,1198.5,5,167,526981.0599999999,3,4,5,345,12,Champions
Distributor,2019-02-19,23,46,143,33,0.1,3344.64,4,157,378414.74,4,3,2,432,9,At Risk Customer
Distributor,2019-02-19,23,44,208,5,0.15,4980.38,3,156,348209.08,5,2,1,521,8,Checker
Online,2019-02-19,12,31,162,25,0.075,1061.25,4,152,398616.83,4,2,2,422,8,At Risk Customer
In-Store,2019-02-20,4,35,102,14,0.05,13811.38,10,145,345844.59,2,1,1,211,4,Need Attention
Wholesale,2019-02-20,26,49,117,45,0.075,1715.47,7,152,354161.33,2,2,1,221,5,Need Attention
Online,2019-02-20,19,12,274,24,0.15,2237.8,3,210,616719.31,5,5,5,555,15,Champions
In-Store,2019-02-20,8,3,92,3,0.05,428.8,10,181,466220.17,2,5,4,254,11,Cant Lose Group
In-Store,2019-02-20,11,46,21,31,0.05,2611.39,4,157,378414.74,4,3,2,432,9,At Risk Customer
In-Store,2019-02-20,4,43,228,8,0.05,3589.59,5,151,372471.34,3,2,2,322,7,At Risk Customer
Online,2019-02-20,16,10,61,11,0.075,2577.36,15,158,435122.22000000003,1,3,3,133,7,Need Attention
In-Store,2019-02-20,11,36,91,46,0.15,1321.78,4,156,441225.98,4,2,3,423,9,At Risk Customer
In-Store,2019-02-20,2,34,197,43,0.1,712.41,15,176,496418.7,1,5,5,155,11,Cant Lose Group
In-Store,2019-02-20,4,32,4,33,0.05,2076.46,2,173,435206.07,5,5,3,553,13,Potential Loyalists
Online,2019-02-20,19,2,278,5,0.1,755.09,9,135,327409.14,2,1,1,211,4,Need Attention
In-Store,2019-02-21,2,49,168,17,0.1,211.05,7,152,354161.33,2,2,1,221,5,Need Attention
In-Store,2019-02-21,6,46,77,6,0.075,6090.9,4,157,378414.74,4,3,2,432,9,At Risk Customer
Online,2019-02-21,13,12,119,19,0.05,12550.44,3,210,616719.31,5,5,5,555,15,Champions
Online,2019-02-21,19,25,21,12,0.2,707.52,5,162,461601.95,3,4,4,344,11,Potential Loyalists
Online,2019-02-21,15,44,27,16,0.15,3017.08,3,156,348209.08,5,2,1,521,8,Checker
Wholesale,2019-02-22,27,23,22,6,0.3,-19.3,12,164,449782.3,1,4,4,144,9,Cant Lose Group
In-Store,2019-02-22,8,50,340,39,0.1,15570.8,16,163,498385.06,1,4,5,145,10,Cant Lose Group
In-Store,2019-02-22,10,12,17,42,0.075,123.01,3,210,616719.31,5,5,5,555,15,Champions
In-Store,2019-02-22,7,44,358,40,0.05,1407.0,3,156,348209.08,5,2,1,521,8,Checker
Online,2019-02-22,17,6,6,21,0.075,994.95,4,143,392141.08,4,1,2,412,7,Potential Loyalists
In-Store,2019-02-22,8,18,124,23,0.05,1905.48,6,186,451637.75,3,5,4,354,12,Potential Loyalists
Wholesale,2019-02-22,28,23,80,16,0.05,8371.65,12,164,449782.3,1,4,4,144,9,Cant Lose Group
Online,2019-02-22,17,31,179,27,0.15,359.92,4,152,398616.83,4,2,2,422,8,At Risk Customer
Distributor,2019-02-22,22,47,242,20,0.075,3283.34,8,168,442845.83999999997,2,4,4,244,10,Cant Lose Group
Distributor,2019-02-23,25,46,50,19,0.15,2675.71,4,157,378414.74,4,3,2,432,9,At Risk Customer
Online,2019-02-23,17,45,334,11,0.075,1724.58,5,156,407145.0,3,2,3,323,8,At Risk Customer
Online,2019-02-23,19,8,148,4,0.05,2588.88,5,142,338000.04,3,1,1,311,5,Checker
In-Store,2019-02-23,7,44,62,28,0.05,767.02,3,156,348209.08,5,2,1,521,8,Checker
Distributor,2019-02-23,22,35,31,2,0.075,2727.57,10,145,345844.59,2,1,1,211,4,Need Attention
Online,2019-02-23,16,5,326,5,0.05,15936.89,30,159,445632.75,1,3,4,134,8,Need Attention
In-Store,2019-02-23,8,16,91,16,0.15,929.62,3,135,402938.75,5,1,2,512,8,Potential Loyalists
In-Store,2019-02-23,8,27,195,17,0.1,6019.15,3,144,336959.79,5,1,1,511,7,Checker
Online,2019-02-23,13,32,195,13,0.3,2532.6,2,173,435206.07,5,5,3,553,13,Potential Loyalists
Online,2019-02-23,17,36,61,6,0.075,36.48,4,156,441225.98,4,2,3,423,9,At Risk Customer
In-Store,2019-02-23,10,15,292,21,0.075,1253.13,4,142,441668.35,4,1,4,414,9,Potential Loyalists
Wholesale,2019-02-24,26,15,366,40,0.05,10655.01,4,142,441668.35,4,1,4,414,9,Potential Loyalists
In-Store,2019-02-24,8,21,20,35,0.3,-241.2,3,164,479383.05,5,4,5,545,14,Champions
Distributor,2019-02-24,24,18,31,5,0.05,3249.5,6,186,451637.75,3,5,4,354,12,Potential Loyalists
Online,2019-02-24,12,32,305,21,0.3,703.5,2,173,435206.07,5,5,3,553,13,Potential Loyalists
